id,name,original_name,overview,first_air_date,last_air_date,first_air_year,rating,vote_count,popularity,number_of_seasons,number_of_episodes,episode_run_time,genres,language,origin_country,status,tv_type,networks,production_companies,adult,poster_local,trailer_youtube,trailer_embed
68267,Охотники на троллей: Истории Аркадии,Trollhunters: Tales of Arcadia,"Обнаружив таинственный амулет, обычный подросток принимает свою необычную судьбу как должное и собирается спасти два мира.",2016-12-23,2018-05-25,2016,8.5,1147,14.0938,3,52,24,"семейный, мультфильм, Боевик и Приключения, комедия, НФ и Фэнтези",en,US,Ended,Scripted,Netflix,"DreamWorks Animation Television, Double Dare You",False,series_posters/68267.jpg,,
66676,Королева юга,Queen of the South,"Тереза покидает Мексику после того,  как убивают её приятеля-наркокурьера. Обосновавшись в Испании,  она стремится стать всевластным в стране контрабандистом наркотиков  и отомстить за смерть своего любовника.",2016-06-23,2021-06-09,2016,7.607,470,13.0752,5,62,42,"криминал, драма",en,US,Ended,Scripted,USA Network,"Frequency Films, Friendly Films, Skeeter Rosenbaum Productions, UCP, Fox 21 Television Studios, 20th Television",False,series_posters/66676.jpg,https://www.youtube.com/watch?v=unzPRyYl1xw,https://www.youtube.com/embed/unzPRyYl1xw
64230,Проповедник,Preacher,"Священник Джесси Кастер по воле случая стал носителем внутри своего естества странного существа по имени Генезис. Это дитя совокупления ангела и демона представляет собой одновременно чистый идеал и квинтэссенцию света, но также сгусток абсолютного зла. Генезис — единственное существо во Вселенной, которое может встать вровень с Богом, если того пожелает, а его носитель автоматически становится самым могущественным существом в материальном мире. И это проповедник Кастер.",2016-05-22,2019-09-29,2016,7.443,1305,11.7844,4,43,,"НФ и Фэнтези, детектив, драма",en,US,Ended,Scripted,AMC,"Point Grey Pictures, Short Drive Entertainment, Original Film, Kickstart Entertainment, Nightsky Productions, AMC Studios, Sony Pictures Television",False,series_posters/64230.jpg,,
65988,Вайнона Эрп,Wynonna Earp,"Мистический вестерн о большой любительнице приключений. Так сложилось, что предок Вайноны был великий Уайетт Эрп, один из тех, кто покорил Дикий Запад. Как и он, девушка обожает пить виски и кутить с друзьями, но если Вайнона чует опасность, она превращается совсем в другого человека – смелую охотницу на нечисть. Никакие демоны её не страшат. Она отважно бросается в бой и отправляет все зловещие создания обратно в ад. Помогают ей в этом её верные друзья – настоящая поисковая команда. С их помощью и благодаря своему особому чутью Вайнона безошибочно определяет порождения другого мира.",2016-04-01,2021-04-09,2016,7.856,807,11.4711,4,49,44,"Боевик и Приключения, НФ и Фэнтези, вестерн",en,"CA, US",Ended,Scripted,"Syfy, Space, CTV Sci-Fi Channel","Bell Media, SEVEN24 Films, IDW Entertainment, Cineflix Productions",False,series_posters/65988.jpg,,
67557,Гранд тур,The Grand Tour,"Гранд Тур — это новое автомобильное шоу во главе с неизменной тройкой легендарных ведущих — Джереми Кларксоном, Ричардом Хаммондом и Джеймсом Мэйем. Распрощавшись с Top Gear, они создали новое детище в области автомобильных развлекательных шоу.

Название автошоу дословно переводится как «Большое путешествие». Это название хорошо отображает содержание передачи, ведь теперь наши герои не привязаны к какому-либо конкретному месту, а постоянно перемещаются по миру вместе с огромной палаткой-студией, рассчитаной на 250 человек, и каждую неделю ведут передачу с разных стран и регионов.",2016-11-17,2024-09-13,2016,8.013,852,11.0191,6,45,60,"Реалити-шоу, комедия, Ток-шоу",en,GB,Returning Series,Talk Show,Prime Video,"W. Chump and Sons, Expectation TV, Grand Tour Productions, Flat Four Films",False,series_posters/67557.jpg,,
67070,Дрянь,Fleabag,"У главной героини, девушки по прозвищу Дрянь, была лучшая подруга Бу и кафе, которое они держали вместе. Но Бу погибла при нелепом стечении обстоятельств, и теперь кафе загибается, а вместе с ним загибается и Дрянь. За стильной одеждой и ярким макияжем скрывается желание орать до порванных связок, случайный секс с малознакомыми парнями совсем не помогает заткнуть дыры в душе, а бойфренд не смог вынести, что она мастурбировала на Обаму, собрал вещи и покинул помещение. Родные тоже не помогают: сестра ведёт себя как настоящий контрол-фрик и даже обниматься не умеет, отец что-то невнятно мямлит про ""ты сильная"", матери нет, а мачеха в совершенстве владеет приёмами пассивной агрессии и регулярно отрабатывает их на падчерице. Сможет ли Дрянь хоть когда-нибудь стать счастливой, если она уже настолько поломана, что способна искренне влюбиться только в пусть и суперсексуального, но истово верующего католического священника?..",2016-07-21,2019-04-08,2016,8.3,1832,9.9531,2,12,,"комедия, драма",en,GB,Ended,Scripted,"BBC Three, BBC One",Two Brothers Pictures,False,series_posters/67070.jpg,https://www.youtube.com/watch?v=F-XIDzOsM90,https://www.youtube.com/embed/F-XIDzOsM90
65495,Атланта,Atlanta,"События сериала разворачиваются на музыкальной сцене и улицах Атланты. Двоюродные братья пробивают себе путь наверх в индустрии музыки, проявляя свои уличные бойцовские таланты и музыкальный дар. Их окружают такие же выходцы из неблагополучных чёрных районов, которые уже в средних классах школы, если нет данных для спортивной карьеры, должны выбирать между несколькими незавидными вариантами, вроде вступления в преступную банду, непрестижной работы за гроши или вечного обивания министерских порогов в надежде на пособие. Однако есть ещё один – рэп-батлы, в которых можно громко заявить о себе и выбраться из нищеты в мир больших денег и славы.",2016-09-06,2022-11-10,2016,8.0,849,10.3863,4,41,,"комедия, драма",en,US,Ended,Scripted,FX,"FX Productions, RBA, MGMT. Entertainment, Gilga, 343",False,series_posters/65495.jpg,,
67773,Холистическое детективное агентство Дирка Джентли ,Dirk Gently's Holistic Detective Agency,"Жестоко растерзанные трупы, устрашающего вида бугаи-наемники, спятившая девица с мачете, пустоголовые спецагенты, симпатичный вельш-корги и пугливый черный котенок, а также эксцентричный детектив в желтой куртке — все оказывается связанным в возмутительно искрометном сериале «Холистическое детективное агентство Дирка Джентли». Изголодавшимся по острым впечатлениям зрителям не стоит проходить мимо этой фантастической черной комедии с элементами детектива, абсурдистского юмора и мистики.",2016-10-22,2017-12-16,2016,7.681,905,9.4437,2,18,42,"комедия, НФ и Фэнтези, криминал",en,US,Canceled,Scripted,BBC America,"Ideate Media, IDW Entertainment, Circle of Confusion, AMC Studios",False,series_posters/67773.jpg,,
69061,ОА,The OA,Девушка возвращается домой через семь лет после исчезновения. Теперь она обладает сверхспособностями и собирает пятерых незнакомцев для выполнения секретной миссии.,2016-12-16,2019-03-22,2016,7.51,1372,9.6595,2,16,,"НФ и Фэнтези, детектив, драма",en,US,Canceled,Scripted,Netflix,"Plan B Entertainment, Anonymous Content",False,series_posters/69061.jpg,,
66276,Однажды ночью,The Night Of,"Назир Хан или просто Наз, нью-йоркский студент пакистанского происхождения, однажды ночью воспользовавшись отцовским такси, отправляется на поиски приключений. И находит – прекрасную незнакомку. А дальше мечта оборачивается кошмаром. Наутро полиция обнаруживает труп девушки, а Наза обвиняют в убийстве. Защищать юношу, по сути, за безнадежное дело, берется пребывающий в депрессии и уставший от однообразия адвокат. 8-серийный сериал – запутанная история расследования этого загадочного уголовного дела. Сможет ли система правосудия доказать свою прозрачность и справедливость? Или это драма с элементами триллера совсем про другое?",2016-07-10,2016-08-28,2016,7.982,1315,8.8194,1,8,60,"криминал, драма, детектив",en,US,Ended,Miniseries,HBO,"Film Rites, Bad Wolf, BBC Worldwide Productions, HBO",False,series_posters/66276.jpg,https://www.youtube.com/watch?v=eHc0Q2lOSLo,https://www.youtube.com/embed/eHc0Q2lOSLo
64122,Хроники Шаннары,The Shannara Chronicles,"События сериала происходят спустя 300 лет после Войны Рас, которая положила конец магии и заточила демонов в параллельном мире Запрет, который запечатан древним древом, называемым Элкрис. Сериал рассказывает о путешествии Уилла, Эмберли и Эретрии, которые, с помощью последнего друида Алланона, должны сражаться, чтобы защитить Элкрис от гибели и вторжения демонов в Четыре Земли.",2016-01-05,2017-11-22,2016,6.949,1030,7.7191,2,20,,"Боевик и Приключения, НФ и Фэнтези",en,US,Canceled,Scripted,"MTV, Spike","Farah Films, MTV Production Development, Sonar Entertainment",False,series_posters/64122.jpg,,
64464,11.22.63,11.22.63,"Учитель английского языка отправляется в прошлое, чтобы предотвратить убийство президента Кеннеди, но в результате сильно привязывается к жизни в ушедшей эпохе.",2016-02-15,2016-04-04,2016,7.755,1741,7.5353,1,8,"81, 54","драма, НФ и Фэнтези",en,US,Ended,Miniseries,Hulu,"Warner Bros. Television, Bad Robot, Carpenter B.",False,series_posters/64464.jpg,https://www.youtube.com/watch?v=5JAlRz-mT1I,https://www.youtube.com/embed/5JAlRz-mT1I
67135,Изгоняющий дьявола,The Exorcist,"Семья Рэндс обращается к молодому священнику Томасу за помощью. Одна из их дочерей одержима демоном, и его нужно как можно скорее изгнать. В одиночку неопытному Томасу с такой сложной работой не справиться, но судьба сводит его с профессиональным экзорцистом Маркусом. Вот только найти общий язык наивный священнослужитель и циничный борец с нечистью никак не могут. А демон тем временем становится сильнее и начинает представлять серьёзную угрозу для молодой девушки и окружающих её людей.",2016-09-23,2017-12-15,2016,7.294,747,5.9059,2,20,,"детектив, драма",en,US,Canceled,Scripted,FOX,"Morgan Creek Entertainment, 20th Century Fox Television",False,series_posters/67135.jpg,,
