id,title,original_title,overview,release_date,year,rating,vote_count,budget,revenue,runtime,genres,language,adult,poster_local,trailer_youtube,trailer_embed
1250,Призрачный гонщик,Ghost Rider,"Как только на город спускается ночь, в ущельях улиц раздается рев мощного мотора, и все в ужасе пытаются скрыться, заслышав этот звук. Ведь он возвещает приближение Призрачного Ездока - жуткого демона мщения с пылающим черепом вместо головы, рассекающего на объятом адским пламенем черном мотоцикле. И никто не знает, что под ужасной личиной палача из преисподней кроется трюкач и каскадер Джонни Блэйз, заключивший сделку с Мефистофелем. Согласно договору, днем он - обычный человек. Однако ночью герой превращается в могучего духа, отправляющего в геенну негодяев, ушедших от правосудия. Но даже Призрачному Ездоку понадобится дополнительная дьявольская мощь, когда ему придется сразиться с мегазлодеем по имени Черное Сердце - восставшим против отца сыном Сатаны, мечтающим создать новый ад, по сравнению с которым старый покажется раем!..",2007-01-15,2007,5.61,6487,110000000,228738393,105,"триллер, боевик, фэнтези",en,False,posters2/1250.jpg,https://www.youtube.com/watch?v=2QdBEv3SEG4,https://www.youtube.com/embed/2QdBEv3SEG4
4523,Зачарованная,Enchanted,"Юная девушка из мультипликационного мира влюбилась в прекрасного принца, чем немало разозлила его мачеху. С помощью черной магии королева отправляет несчастную в единственное место во Вселенной, где нет любви — современный Манхэттен. Вчерашней мультяшке придется как-то выживать в реальности.",2007-11-20,2007,6.844,5719,85000000,340487652,107,"комедия, семейный, фэнтези, мелодрама",en,False,posters2/4523.jpg,https://www.youtube.com/watch?v=2GzCBUjbsMM,https://www.youtube.com/embed/2GzCBUjbsMM
9757,Уловки Норбита,Norbit,"Жизнь Норбита с самого детства была полна испытаний и разочарований. Брошенный родителями у дверей китайского ресторанчика и воспитанный мистером Вонгом, с начальной школы он был обречен ходить в ухажерах монструозной Распутии. Не смея возразить своей защитнице, герой смиренно собирается вести ее к алтарю, как в город возвращается любовь всей жизни Норбита, прекрасная Кейт. Теперь ему предстоит как-то избавиться от деспотичной Распутии и завоевать сердце Кейт.",2007-02-08,2007,5.671,2600,10000000,159814490,102,комедия,en,False,posters2/9757.jpg,,
5559,Би Муви: Медовый заговор,Bee Movie,"Барри Би Нельсон - пчёл, только что закончивший колледж и весьма разочарованный дальнейшей карьерой. Ведь единственный выбор, открывающийся перед ним - сбор мёда. Отправившись куда глаза глядят, Барри попадает в передрягу, из которой его вызволяет Ванесса, нью-йоркская цветочница. Барри немедленно влюбляется в спасительницу, и перебирается жить поближе к ней. Именно в Нью-Йорке он узнает, что мёд, который с таким трудом добывают пчёлы, люди съедают. И Барри решает предъявить человечеству иск.",2007-10-28,2007,6.045,5289,150000000,287594577,91,"семейный, мультфильм, приключения, комедия",en,False,posters2/5559.jpg,https://www.youtube.com/watch?v=xNHuLguMHx4,https://www.youtube.com/embed/xNHuLguMHx4
5876,Мгла,The Mist,"Маленький городок накрывает сверхъестественный туман, отрезая людей от внешнего мира. Группе героев, оказавшихся в этот момент в супермаркете, приходится вступить в неравный бой с обитающими в тумане монстрами.",2007-11-21,2007,6.945,5859,18000000,57470220,120,"ужасы, фантастика, триллер",en,False,posters2/5876.jpg,https://www.youtube.com/watch?v=7_8p0ziEkjE,https://www.youtube.com/embed/7_8p0ziEkjE
14001,Мертвая тишина,Dead Silence,"Молодая пара, Джемми и Лиза, решили начать новую жизнь в маленьком городке вдали от суеты огромных мегаполисов. Только поселившись в этой заброшенной, запустелой точке на карте, они уже устали слушать сказки о наводняющих дома призраках и всей породы нечисти, обитающей повсюду. Когда неожиданно Лиза подвергается бесчеловечному убийству, Джемми, будучи главным подозреваемым в преступлении, решает провести независимое расследование относительно её загадочной смерти.  Погружаясь в то, что он ещё недавно считал сказками, парень узнает легенду о некой Мэри, дух которой, по словам местных жителей, всё ещё бродит по пустынным улицам города. Всецело отдавшись исследованию прошлого этого места, он вскоре натыкается на самые кровеобильные подробности и навлекает на себя проклятие, которое и стало причиной смерти его супруги.",2007-03-16,2007,6.453,2454,20000000,22382047,89,ужасы,en,False,posters2/14001.jpg,https://www.youtube.com/watch?v=a7pprt284wo,https://www.youtube.com/embed/a7pprt284wo
10030,"Удачи, Чак!",Good Luck Chuck,"Довольный жизнью молодой дантист обнаруживает удивительную вещь — любая девушка после встреч с ним буквально на следующий день находит себе идеального спутника жизни. Главного героя вполне устраивает такая ситуация — никаких, понимаешь, обязательств и шумных разрывов. Разумеется, ситуация в корне меняется, когда он находит свою половинку.",2007-09-21,2007,5.9,1667,25000000,59768495,101,"комедия, мелодрама",en,False,posters2/10030.jpg,,
4347,Искупление,Atonement,"13-летняя Бриони обладает превосходным воображением и пишет пьесы. Она знает, что сын прислуги Робби влюблен в ее старшую сестру Сесилию и та отвечает ему взаимностью. Но когда ее кузина Лола становится жертвой насильника, Бриони уверенно показывает на Робби - ее воображение дорисовывает картину насилия. Робби отправляется в тюрьму, а Сесилия отказывается верить Бриони, рождая страшную вражду между сестрами. Действие фильма начинается в 1934 году и разворачивается на фоне Второй мировой войны.",2007-02-27,2007,7.634,4712,30000000,131016624,123,"драма, мелодрама",en,False,posters2/4347.jpg,https://www.youtube.com/watch?v=zTwMm8Nmuos,https://www.youtube.com/embed/zTwMm8Nmuos
4638,Типа крутые легавые,Hot Fuzz,"Главный лондонский полицейский, констебль Николас Эйнджел переведен из города в тихий сельский городок Сэндфорд. Он пытается привыкнуть к этой мирной, и на первый взгляд лишенной преступности жизни, а также к туповатому напарнику Дэнни Баттерману. Однако, серия ужасных происшествий потрясает городок, заставляя Эйнджела убедиться в том, что Сэндфорд — совсем не такой, каким кажется на первый взгляд. Мечты Дэнни о бурной, взрывоопасной, полной стрельбы и погонями жизни становятся все более и более реальными. Настало время для провинциальных полицейских вершить правосудие больших городов!",2007-02-14,2007,7.565,8365,12000000,80600000,121,"криминал, боевик, комедия",en,False,posters2/4638.jpg,https://www.youtube.com/watch?v=qZHSqdQWz5Y,https://www.youtube.com/embed/qZHSqdQWz5Y
5174,Час пик 3,Rush Hour 3,"Лос-анджелесского полицейского Джеймса Картера, допустившего грубую ошибку при аресте подозреваемого, переводят в регулировщики движения. Тем временем инспектор Ли получает спецзадание: он должен охранять китайского посла Хана. Хан намеревается разоблачить интриги китайской Триады — самого опасного криминального синдиката в мире. Представители Триады, разумеется, не дремлют. Наших героев снова ждут приключения...",2007-08-08,2007,6.5,3730,140000000,258097122,91,"боевик, комедия, криминал",en,False,posters2/5174.jpg,https://www.youtube.com/watch?v=oa7jZrtz13Q,https://www.youtube.com/embed/oa7jZrtz13Q
2503,Ультиматум Борна,The Bourne Ultimatum,"Он хотел одного — исчезнуть. Вместо этого за Борном теперь охотятся люди, которые сделали его таким, какой он есть. Он потерял память и человека, которого он любил. Но его не удается сдержать даже новому поколению профессиональных убийц. У него только одна цель: вернуться к началу и узнать кем он был, Джейсон Борн.Он мечется от Москвы к Парижу, через Мадрид и Лондон в Танжер и Нью-Йорк, пытаясь раскрыть последние загадки своего прошлого, в то время как правительственные агенты и Интерпол пытаются помешать ему восстановить всю картину до конца.",2007-08-03,2007,7.439,8384,70000000,442824138,115,"боевик, драма, детектив, триллер",en,False,posters2/2503.jpg,https://www.youtube.com/watch?v=EGOeHPvZ8Zc,https://www.youtube.com/embed/EGOeHPvZ8Zc
2268,Золотой Компас,The Golden Compass,"Двенадцатилетняя Лира отправляется в удивительное путешествие к Северному Полюсу, чтобы спасти своего похищенного друга. В помощь к девочке приходят северные ведьмы под предводительством прекрасной Серафины Пеккала и огромный бронированный медведь. На пути их стоят зловещая Миссис Коултер и армия её монстров.",2007-12-04,2007,6.087,4842,180000000,372234864,113,"приключения, фэнтези",en,False,posters2/2268.jpg,https://www.youtube.com/watch?v=Ed75EgZPduk,https://www.youtube.com/embed/Ed75EgZPduk
663,Пила 4,Saw IV,"Пила умер, но его дело живёт и процветает, в желудке покойного детектив Хоффман обнаруживает кассету с правилами очередной игры. Вступает в игру и его напарник Ригг, у которого всего девяносто минут, чтобы спасти детектива Эрика Мэтьюза. А подключившиеся к расследованию агенты ФБР лихорадочно пытаются собрать воедино все кусочки головоломки и предугадать следующий шаг мёртвого, но всё ещё смертельно опасного маньяка.",2007-10-25,2007,6.168,4115,10000000,139352653,88,"ужасы, триллер, криминал",en,False,posters2/663.jpg,https://www.youtube.com/watch?v=HddQ_r8q7wo,https://www.youtube.com/embed/HddQ_r8q7wo
4982,Гангстер,American Gangster,"После смерти хозяина, Фрэнк Лукас, тихий водитель гарлемского преступного авторитета, решает создать собственную криминальную империю. Его специальность — героин, который он ввозит напрямую из Юго-Восточной Азии. Лукас считает себя бизнесменом и конкурирует с другими группировками по всем правилам рыночной экономики, предлагая более качественный продукт по более низкой цене. Зарабатывая миллион долларов в день и придерживаясь однажды установленных для себя правил игры, он становится идолом для всего Гарлема, но по следам Фрэнка уже идёт Ричи Робертс — редкий для Нью-Йорка образец честного полицейского, ненавидимого коллегами.",2007-11-02,2007,7.594,6062,100000000,269755430,157,"драма, криминал",en,False,posters2/4982.jpg,https://www.youtube.com/watch?v=btacdk2GFo8,https://www.youtube.com/embed/btacdk2GFo8
1562,28 недель спустя,28 Weeks Later,"Действие фильма происходит спустя шесть месяцев после того, как вирус ярости опустошил Лондон. Армия США восстановила порядок и заселяет город, который находился под карантином...",2007-04-26,2007,6.606,5599,15000000,72304846,100,"ужасы, триллер, фантастика",en,False,posters2/1562.jpg,https://www.youtube.com/watch?v=mJt2nZasXnE,https://www.youtube.com/embed/mJt2nZasXnE
10431,Война,War,"В мире, которым правит страх, только правосудие спасает жизни. На счету агента ФБР Джека Кроуфорда и его напарника немало обезвреженных бандитов. Но справедливость и закон оказались бессильны, когда одержимый убийца объявил им войну. С этого момента жизнь Кроуфорда превращается в бесконечную игру со смертью, захватывающую и жестокую. Игру, где жизнь не стоит ничего, а бывшие друзья становятся заклятыми врагами.",2007-08-24,2007,6.401,2057,25000000,40452643,103,"боевик, криминал, триллер",en,False,posters2/10431.jpg,,
7345,Нефть,There Will Be Blood,"Начало XX века. Предприниматель Дэниэл Плэйнвью ищет золото и серебро, а находит нефть. За несколько лет он становится преуспевающим нефтяником, разработавшим уже несколько скважин. Однажды он узнает про новое месторождение. Уцепившись за этот шанс разбогатеть, Дэниэл делает всё, чтобы добиться своего.",2007-12-26,2007,8.077,7476,25000000,77208711,158,драма,en,False,posters2/7345.jpg,https://www.youtube.com/watch?v=SwBFVSSAoWc,https://www.youtube.com/embed/SwBFVSSAoWc
